time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-22T09:09:16.708Z,41.8833,-119.6332,11.7,4.5,ml,10,100.42,0.139,0.1541,nn,nn00478560,2018-06-29T23:44:21.321Z,"68km ESE of Lakeview, Oregon",earthquake,,2.3,0.33,9,reviewed,nn,nn
2015-01-22T09:35:49.068Z,41.887,-119.6411,7,2.6,ml,5,121.47,0.132,0.0944,nn,nn00478565,2018-06-29T23:44:18.876Z,"67km ESE of Lakeview, Oregon",earthquake,,3.9,0.32,5,reviewed,nn,nn
2015-01-22T09:49:05.969Z,41.8722,-119.66,8.2,3.4,ml,7,99.63,0.13,0.1135,nn,nn00478570,2018-06-29T23:44:18.524Z,"66km ESE of Lakeview, Oregon",earthquake,,4.5,0.32,7,reviewed,nn,nn
2015-01-22T10:18:43.522Z,41.8843,-119.6208,8.5,3.1,ml,6,122.56,0.146,0.1807,nn,nn00478573,2018-06-29T23:44:18.750Z,"68km ESE of Lakeview, Oregon",earthquake,,3.7,0.41,6,reviewed,nn,nn
2015-01-22T10:39:40.404Z,41.8653,-119.6432,8.2,3,ml,7,122.38,0.144,0.189,nn,nn00478576,2018-06-29T23:44:18.998Z,"68km ESE of Lakeview, Oregon",earthquake,,4.6,0.34,7,reviewed,nn,nn
2015-01-22T10:49:26.723Z,41.8579,-119.6398,8.1,2.6,ml,5,130.49,0.151,0.1569,nn,nn00478578,2018-06-29T23:44:19.465Z,"71km SE of Lakeview, Oregon",earthquake,,4.4,0.52,5,reviewed,nn,nn
2015-01-22T12:39:00.403Z,41.8798,-119.6402,7.9,2.5,ml,5,121.84,0.137,0.098,nn,nn00478592,2018-06-29T23:44:20.324Z,"67km ESE of Lakeview, Oregon",earthquake,,4.3,0.48,5,reviewed,nn,nn
2015-01-22T15:07:05.090Z,41.871,-119.6476,7.5,2.7,ml,7,123.29,0.138,0.0973,nn,nn00478601,2018-06-29T23:44:20.990Z,"67km ESE of Lakeview, Oregon",earthquake,,5.5,0.07,7,reviewed,nn,nn
2015-01-23T13:30:28.822Z,41.8489,-119.6356,7.8,2.7,ml,5,123.48,0.159,0.1115,nn,nn00478815,2018-06-29T23:44:35.039Z,"69km ESE of Lakeview, Oregon",earthquake,,4.2,0.53,5,reviewed,nn,nn
2015-01-23T16:00:34.970Z,40.3396667,-124.3833333,16.129,2.59,md,15,242,0.07748,0.1,nc,nc72385286,2017-02-07T02:39:58.890Z,"28km SSW of Ferndale, California",earthquake,0.73,0.23,0.152,40,reviewed,nc,nc
2015-01-23T18:47:49.267Z,41.8534,-119.655,7.8,2.5,ml,5,123.71,0.146,0.0954,nn,nn00478839,2018-06-29T23:44:35.261Z,"68km ESE of Lakeview, Oregon",earthquake,,4.6,0.41,5,reviewed,nn,nn
2015-01-24T03:35:16.076Z,41.877,-119.6399,8.6,2.6,ml,5,220.34,0.139,0.1343,nn,nn00478913,2018-06-29T23:44:40.394Z,"67km ESE of Lakeview, Oregon",earthquake,,4.1,0.3,5,reviewed,nn,nn
2015-01-24T20:41:11.219Z,41.8768,-119.6348,9.9,2.8,ml,5,122.25,0.142,0.1381,nn,nn00478961,2018-06-29T23:44:41.952Z,"68km ESE of Lakeview, Oregon",earthquake,,4.4,0.38,5,reviewed,nn,nn
2015-01-25T00:48:36.370Z,41.8843,-119.6485,8.5,2.9,ml,5,121.25,0.129,0.1351,nn,nn00478977,2018-06-29T23:44:44.638Z,"66km ESE of Lakeview, Oregon",earthquake,,4,0.43,5,reviewed,nn,nn
2015-01-25T03:34:38.120Z,40.3286667,-124.6366667,17.721,3.16,ml,50,232,0.2694,0.2,nc,nc72385806,2017-02-07T02:46:27.390Z,"41km SW of Ferndale, California",earthquake,0.59,0.34,0.212,26,reviewed,nc,nc
2015-01-25T21:10:12.050Z,52.5619,-131.9669,17.56,4.5,mwr,,,,0.76,us,usc000tiza,2015-04-24T16:55:33.040Z,"162km S of Masset, Canada",earthquake,7.9,5.3,,,reviewed,pgc,pgc
2015-01-26T02:36:36.030Z,46.8375,-121.9176667,7.059,2.54,ml,45,46,0.05505,0.13,uw,uw60950382,2016-07-22T19:43:52.280Z,"26km E of Eatonville, Washington",earthquake,0.17,0.25,0.177,110,reviewed,uw,uw
2015-01-26T21:57:10.920Z,39.3925,-119.8115,7.1,2.7,ml,29,48.19,0.02,0.1376,nn,nn00479246,2018-06-29T23:44:55.456Z,"15km S of Reno, Nevada",earthquake,,0.8,0.32,11,reviewed,nn,nn
2015-01-27T10:08:21.790Z,40.4922,-126.017,3.05,3,ml,,290,1.281,1.34,us,usb000tik3,2017-02-07T03:06:11.568Z,"148km W of Ferndale, California",earthquake,8.5,8.3,0.18,14,reviewed,nc,nc
2015-01-27T18:36:53.052Z,41.8509,-119.6375,7.5,3,ml,5,113.33,0.157,0.1311,nn,nn00479433,2018-06-29T23:44:59.473Z,"69km ESE of Lakeview, Oregon",earthquake,,6.1,0.43,5,reviewed,nn,nn
2015-01-28T19:55:20.650Z,41.8525,-125.4681667,22.98,2.86,md,9,277,0.9919,0.13,nc,nc72387926,2017-02-07T03:19:30.830Z,"100km WSW of Brookings, Oregon",earthquake,1.88,10.89,0.113,22,reviewed,nc,nc
2015-01-28T21:08:53.710Z,40.3178333,-124.6066667,16.881,5.72,mw,52,230,0.2459,0.13,nc,nc72387946,2020-01-02T23:17:46.528Z,"40km SW of Ferndale, California",earthquake,0.54,0.33,,13,reviewed,nc,nc
2015-01-28T21:11:14.220Z,40.2846667,-124.3736667,21.56,3.1,ml,19,234,0.07748,0.09,nc,nc71089479,2017-02-07T03:20:18.260Z,"32km SW of Rio Dell, California",earthquake,0.62,0.33,0.096,7,reviewed,nc,nc
2015-01-28T21:12:09.370Z,40.2891667,-124.356,19.9,2.59,md,15,229,0.06396,0.11,nc,nc71089484,2017-02-07T03:20:24.986Z,"31km SW of Rio Dell, California",earthquake,0.58,0.4,0.391,15,reviewed,nc,nc
2015-01-28T21:15:28.760Z,40.2863333,-124.431,20.721,2.97,md,21,248,0.118,0.11,nc,nc72387951,2017-02-07T03:20:30.793Z,"35km SSW of Ferndale, California",earthquake,1.11,0.25,0.164,60,reviewed,nc,nc
2015-01-28T22:08:29.020Z,40.3036667,-124.556,18.851,2.5,md,32,238,0.2081,0.15,nc,nc72388026,2017-02-07T03:22:21.225Z,"39km SW of Ferndale, California",earthquake,0.84,0.31,0.167,38,reviewed,nc,nc
2015-01-28T22:34:14.490Z,40.3231667,-124.2111667,31.079,2.85,md,24,106,0.04865,0.09,nc,nc72388061,2017-02-07T03:22:54.340Z,"21km SSW of Rio Dell, California",earthquake,0.66,0.83,0.16,53,reviewed,nc,nc
2015-01-29T00:47:40.270Z,40.4695,-126.1756667,3.162,2.88,md,22,310,1.401,0.27,nc,nc72388171,2017-02-07T03:24:31.743Z,"162km W of Ferndale, California",earthquake,13.89,10.92,0.177,31,reviewed,nc,nc
